Site,Category Name,Category URL,Slug,Total Site Categories
The Rocky Mountain Collegian,News,https://collegian.com/category/articles/news/,articles/news,8
The Rocky Mountain Collegian,Life & Culture,https://collegian.com/category/articles/landc/,articles/landc,8
The Rocky Mountain Collegian,Sports,https://collegian.com/category/articles/sports/,articles/sports,8
The Rocky Mountain Collegian,Opinion,https://collegian.com/category/articles/opinion/,articles/opinion,8
The Rocky Mountain Collegian,Science,https://collegian.com/category/articles/science/,articles/science,8
The Rocky Mountain Collegian,Arts & Entertainment,https://collegian.com/category/articles/aande/,articles/aande,8
The Rocky Mountain Collegian,Cannabis,https://collegian.com/category/articles/science/cannabis/,articles/science/cannabis,8
The Rocky Mountain Collegian,Sponsored Content,https://collegian.com/category/articles/sponsored/,articles/sponsored,8
College Ave Mag,Features,https://collegeavemag.com/category/features/,features,4
College Ave Mag,Culture,https://collegeavemag.com/category/culture/,culture,4
College Ave Mag,Food & Drink,https://collegeavemag.com/category/food-drink/,food-drink,4
College Ave Mag,Outdoors,https://collegeavemag.com/category/outdoors/,outdoors,4
KCSU FM,Podcast,https://kcsufm.com/category/podcast/,podcast,3
KCSU FM,News,https://kcsufm.com/category/news/,news,3
KCSU FM,Sports,https://kcsufm.com/category/sports/,sports,3
